,Title,Cast,Year,Ratings,Votes
146,The Return of Sherlock Holmes,"Jeremy Brett, Edward Hardwicke",(1986),8.5,12617
147,Gomorra: La serie,"Salvatore Esposito, Marco D'Amore",(2014),8.5,41331
148,Yellowstone,"Kevin Costner, Luke Grimes",(2018),8.5,17069
149,Young Justice,"Nolan North, Danica McKellar",(2010),8.5,42736
150,Blackadder the Third,"Rowan Atkinson, Tony Robinson",(1987),8.5,45173
151,Heartstopper,"Joe Locke, Kit Connor",(2022),8.5,57473
152,The Offer,"Miles Teller, Matthew Goode",(2022),8.5,30894
153,Haikyuu!!,"Ayumu Murase, Kaito Ishikawa",(2014),8.5,28242
154,Dopesick,"Michael Keaton, Peter Sarsgaard",(2021),8.5,62449
155,Mr. Bean,"Rowan Atkinson, Matilda Ziegler",(1990),8.5,12391
156,Anne,"Amybeth McNulty, Geraldine James",(2017),8.5,58575
157,QI,"Alan Davies, Stephen Fry",(2003),8.5,32506
158,Poirot,"David Suchet, Hugh Fraser",(1989),8.5,47592
159,Yes Minister,"Paul Eddington, Nigel Hawthorne",(1980),8.5,15426
160,Justified,"Timothy Olyphant, Nick Searcy",(2010),8.5,10385
161,Pose,"Michaela Jaé (MJ) Rodriguez, Dominique Jackson",(2018),8.5,30382
162,Making a Murderer,"Steven Avery, Dolores Avery",(2015),8.5,98220
163,Boardwalk Empire,"Steve Buscemi, Kelly Macdonald",(2010),8.5,19364
164,The Newsroom,"Jeff Daniels, Emily Mortimer",(2012),8.5,11858
165,Sa-rang-eui bul-shi-chak,"Hyun Bin, Son Ye-jin",(2019),8.5,32414
166,The Bugs Bunny Show,"Mel Blanc, June Foray",(1960),8.5,34501
167,The Haunting of Hill House,"Michiel Huisman, Carla Gugino",(2018),8.5,25512
168,The Eric Andre Show,"Eric André, Hannibal Buress",(2012),8.5,19712
169,The Queen's Gambit,"Anya Taylor-Joy, Chloe Pirrie",(2020),8.5,47947
170,Justice League,"Carl Lumbly, Phil LaMarr",(2001),8.5,48067
171,Homicide: Life on the Street,"Richard Belzer, Clark Johnson",(1993),8.5,13257
172,Flight of the Conchords,"Jemaine Clement, Bret McKenzie",(2007),8.5,63066
173,Dragon Ball: Doragon bôru,"Masako Nozawa, Jôji Yanami",(1986),8.5,60156
174,Dragon Ball,"Brice Armstrong, Steve Olson",(1995),8.5,61510
175,El Chavo del Ocho,"Ramón Valdés, Carlos Villagrán",(1972),8.5,10988
176,Battlestar Galactica,"Edward James Olmos, Mary McDonnell",(2003),8.5,77131
177,The Venture Bros.,"Christopher McCulloch, James Urbaniak",(2003),8.5,26625
178,Coupling,"Jack Davenport, Gina Bellman",(2000),8.5,46351
179,Impractical Jokers,"James Murray, Brian Quinn",(2011),8.5,42223
180,Le Bureau des Légendes,"Mathieu Kassovitz, Florence Loiret Caille",(2015),8.5,12521
181,Spaced,"Simon Pegg, Jessica Hynes",(1999),8.5,55639
182,Formula 1: Drive to Survive,"Will Buxton, Jack Nicholls",(2019),8.5,44472
183,Senke nad Balkanom,"Andrija Kuzmanovic, Marija Bergam",(2017),8.5,11784
184,What We Do in the Shadows,"Kayvan Novak, Matt Berry",(2019),8.5,83067
185,Long Way Round,"Ewan McGregor, Charley Boorman",(2004),8.5,14545
186,"Yes, Prime Minister","Paul Eddington, Nigel Hawthorne",(1986),8.5,12016
187,Samurai chanpurû,"Kazuya Nakai, Ginpei Sato",(2004),8.5,50935
188,The IT Crowd,"Chris O'Dowd, Richard Ayoade",(2006),8.5,15650
189,Mr. Robot,"Rami Malek, Christian Slater",(2015),8.5,39581
190,The Family Man,"Manoj Bajpayee, Samantha Ruth Prabhu",(2019),8.5,89937
191,The Rehearsal,"Nathan Fielder, Journey Baker",(2022),8.5,20864
192,Louie,"Louis C.K., Hadley Delany",(2010),8.5,80069
193,I'm Alan Partridge,"Steve Coogan, Simon Greenall",(1997),8.5,21082
194,The Office,"Ricky Gervais, Martin Freeman",(2001),8.5,11631
195,Whose Line Is It Anyway?,"Drew Carey, Colin Mochrie",(1998),8.5,44569
196,Through the Wormhole,"Morgan Freeman, Sean Carroll",(2010),8.5,18005
197,Letterkenny,"Jared Keeso, Nathan Dales",(2016),8.5,25256
198,Samurai Jack,"Phil LaMarr, Mako",(2001),8.5,55437
199,Mob Psycho 100,"Setsuo Ito, Takahiro Sakurai",(2016),8.5,36583
200,Ezel,"Kenan Imirzalioglu, Cansu Dere",(2009),8.5,34201
201,Shameless,"Emmy Rossum, William H. Macy",(2011),8.5,25079
202,Spartacus: Blood and Sand,"Andy Whitfield, Lucy Lawless",(2010),8.5,24637
203,Endeavour,"Shaun Evans, Roger Allam",(2012),8.5,28697
204,Detectorists,"Mackenzie Crook, Toby Jones",(2014),8.5,17112
205,Sons of Anarchy,"Charlie Hunnam, Katey Sagal",(2008),8.5,30463
206,Brass Eye,"Christopher Morris, Mark Heap",(1997),8.5,11035
207,Shin seiki evangerion,"Megumi Ogata, Megumi Hayashibara",(1995),8.5,74256
208,Trailer Park Boys,"John Paul Tremblay, Robb Wells",(2001),8.5,46200
209,Westworld,"Evan Rachel Wood, Jeffrey Wright",(2016),8.5,51333
210,I-sang-han byeon-ho-sa U-yeong-u,"Park Eun-bin, Kang Tae-oh",(2022),8.5,18247
211,North & South,"Daniela Denby-Ashe, Richard Armitage",(2004),8.5,33386
212,Skam,"Josefine Frida Pettersen, Iman Meskini",(2015),8.5,35736
213,Doctor Who,"Jodie Whittaker, Peter Capaldi",(2005),8.5,23008
214,Twin Peaks,"Kyle MacLachlan, Sheryl Lee",(2017),8.5,70138
215,Hagane no renkinjutsushi,"Vic Mignogna, Aaron Dismuke",(2003),8.5,72894
216,Silicon Valley,"Thomas Middleditch, T.J. Miller",(2014),8.5,15493
217,Spartacus: Gods of the Arena,"John Hannah, Manu Bennett",(2011),8.5,14020
218,Mr Inbetween,"Scott Ryan, Chika Yasumura",(2018),8.5,20369
219,Futurama,"Billy West, John DiMaggio",(1999),8.5,24389
220,From the Earth to the Moon,"Tom Hanks, Nick Searcy",(1998),8.5,12563
221,Rurouni Kenshin: Meiji Kenkaku Romantan: Tsuioku Hen,"Mayo Suzukaze, Junko Iwao",(1999),8.5,15276
222,Happy Valley,"Sarah Lancashire, Siobhan Finneran",(2014),8.5,53301
223,Schitt's Creek,"Eugene Levy, Catherine O'Hara",(2015),8.4,12768
224,Hannibal,"Hugh Dancy, Mads Mikkelsen",(2013),8.4,26034
225,Rocket Boys,"Jim Sarbh, Saba Azad",(2022),8.4,14966
226,The Expanse,"Steven Strait, Dominique Tipper",(2015),8.4,15909
227,Umbre,"Serban Pavlu, Maria Obretin",(2014),8.4,10698
228,Regular Show,"J.G. Quintel, William Salyers",(2009),8.4,48962
229,Community,"Joel McHale, Danny Pudi",(2009),8.4,27367
230,Jujutsu Kaisen,"Junya Enoki, Adam McArthur",(2020),8.4,69447
231,Cobra Kai,"Ralph Macchio, William Zabka",(2018),8.4,19187
232,Chef's Table,"Massimo Bottura, Ruth Reichl",(2015),8.4,16086
233,L'amica geniale,"Alba Rohrwacher, Margherita Mazzucco",(2018),8.4,16083
234,Generation Kill,"Alexander Skarsgård, James Ransone",(2008),8.4,55487
235,Wentworth,"Kate Atkinson, Katrina Milosevic",(2013),8.4,22993
236,Derry Girls,"Saoirse-Monica Jackson, Louisa Harland",(2018),8.4,47553
237,The Angry Video Game Nerd,"James Rolfe, Mike Matei",(2004),8.4,15467
238,The Night Of,"Riz Ahmed, John Turturro",(2016),8.4,15746
239,Alfred Hitchcock Presents,"Alfred Hitchcock, Harry Tyler",(1955),8.4,18039
240,Avrupa Yakasi,"Gülse Birsel, Levent Üzümcü",(2004),8.4,19665
241,Shigatsu wa kimi no uso,"Natsuki Hanae, Risa Taneda",(2014),8.4,32142
242,Big Little Lies,"Reese Witherspoon, Nicole Kidman",(2017),8.4,20729
243,Southland,"Michael Cudlitz, Shawn Hatosy",(2009),8.4,27573
244,The Knick,"André Holland, Clive Owen",(2014),8.4,50098
245,Foyle's War,"Michael Kitchen, Honeysuckle Weeks",(2002),8.4,16469
246,Gintama,"Tomokazu Sugita, Daisuke Sakaguchi",(2005),8.4,12528
247,Black Books,"Dylan Moran, Bill Bailey",(2000),8.4,60063
248,The Great British Bake Off,"Paul Hollywood, Mary Berry",(2010),8.4,11374
249,X-Men,"Cedric Smith, Cal Dodd",(1992),8.4,44713
